modelo,repeticao,edital,perguntas,metrica,Doc. inteiro,RAG vetorial,Configuração híbrida,Configuração com busca adicional
Claude Sonnet 5,1,Todos,45,Acurácia sem referência,0.9778,0.8,0.9111,1
Claude Sonnet 5,1,Todos,45,Acurácia com referência,0.7333,0.4889,0.8889,0.9111
Claude Sonnet 5,1,Todos,45,Valores esperados (automático),1,0.8,0.9333,1
Claude Sonnet 5,1,Todos,45,Respostas totalmente referenciadas,0.7556,0.5778,0.9333,0.9111
Claude Sonnet 5,1,Todos,45,Item esperado recuperado,1,0.7674,0.9535,1
Claude Sonnet 5,1,Todos,45,Citou o item esperado,1,0.7674,0.9535,1
Claude Sonnet 5,1,Todos,45,Tokens de entrada por pergunta,25647.1556,7737.6667,15644.0444,21846.3556
Claude Sonnet 5,1,Todos,45,Tokens totais por pergunta,26383.8444,8360.8222,16905.7778,23378.0889
Claude Sonnet 5,1,Todos,45,Latência média (s),7.4877,6.5222,8.9272,13.9329
Claude Sonnet 5,1,Subvenção Regional,15,Acurácia sem referência,0.9333,0.8667,1,1
Claude Sonnet 5,1,Subvenção Regional,15,Acurácia com referência,0.7333,0.6,1,0.9333
Claude Sonnet 5,1,Subvenção Regional,15,Valores esperados (automático),1,0.8667,1,1
Claude Sonnet 5,1,Subvenção Regional,15,Respostas totalmente referenciadas,0.8,0.7333,1,0.9333
Claude Sonnet 5,1,Subvenção Regional,15,Item esperado recuperado,1,0.7857,1,1
Claude Sonnet 5,1,Subvenção Regional,15,Citou o item esperado,1,0.7857,1,1
Claude Sonnet 5,1,Subvenção Regional,15,Tokens de entrada por pergunta,22105.5333,9164.2667,17320.1333,22424.5333
Claude Sonnet 5,1,Subvenção Regional,15,Tokens totais por pergunta,22895.3333,9881.2667,18614.5333,24108.3333
Claude Sonnet 5,1,Subvenção Regional,15,Latência média (s),8.2393,7.7039,8.85,15.0466
Claude Sonnet 5,1,MIB R2 — Tecnologias Digitais,15,Acurácia sem referência,1,0.8,0.8,1
Claude Sonnet 5,1,MIB R2 — Tecnologias Digitais,15,Acurácia com referência,0.7333,0.4,0.8,0.8667
Claude Sonnet 5,1,MIB R2 — Tecnologias Digitais,15,Valores esperados (automático),1,0.8,0.8,1
Claude Sonnet 5,1,MIB R2 — Tecnologias Digitais,15,Respostas totalmente referenciadas,0.7333,0.4667,0.8667,0.8667
Claude Sonnet 5,1,MIB R2 — Tecnologias Digitais,15,Item esperado recuperado,1,0.7333,0.8667,1
Claude Sonnet 5,1,MIB R2 — Tecnologias Digitais,15,Citou o item esperado,1,0.7333,0.8667,1
Claude Sonnet 5,1,MIB R2 — Tecnologias Digitais,15,Tokens de entrada por pergunta,25809.6667,8796.5333,16600.6,21681.2
Claude Sonnet 5,1,MIB R2 — Tecnologias Digitais,15,Tokens totais por pergunta,26506.2667,9500.3333,17944.4667,23188.5333
Claude Sonnet 5,1,MIB R2 — Tecnologias Digitais,15,Latência média (s),7.0071,6.9302,9.9442,13.5826
Claude Sonnet 5,1,Agricultura Familiar para ICTs 2026,15,Acurácia sem referência,1,0.7333,0.9333,1
Claude Sonnet 5,1,Agricultura Familiar para ICTs 2026,15,Acurácia com referência,0.7333,0.4667,0.8667,0.9333
Claude Sonnet 5,1,Agricultura Familiar para ICTs 2026,15,Valores esperados (automático),1,0.7333,1,1
Claude Sonnet 5,1,Agricultura Familiar para ICTs 2026,15,Respostas totalmente referenciadas,0.7333,0.5333,0.9333,0.9333
Claude Sonnet 5,1,Agricultura Familiar para ICTs 2026,15,Item esperado recuperado,1,0.7857,1,1
Claude Sonnet 5,1,Agricultura Familiar para ICTs 2026,15,Citou o item esperado,1,0.7857,1,1
Claude Sonnet 5,1,Agricultura Familiar para ICTs 2026,15,Tokens de entrada por pergunta,29026.2667,5252.2,13011.4,21433.3333
Claude Sonnet 5,1,Agricultura Familiar para ICTs 2026,15,Tokens totais por pergunta,29749.9333,5700.8667,14158.3333,22837.4
Claude Sonnet 5,1,Agricultura Familiar para ICTs 2026,15,Latência média (s),7.2167,4.9326,7.9873,13.1694
Claude Sonnet 5,2,Todos,45,Acurácia sem referência,0.9778,0.7778,0.8667,0.9778
Claude Sonnet 5,2,Todos,45,Acurácia com referência,0.6889,0.4,0.8667,0.9556
Claude Sonnet 5,2,Todos,45,Valores esperados (automático),1,0.7778,0.8889,0.9778
Claude Sonnet 5,2,Todos,45,Respostas totalmente referenciadas,0.7111,0.5111,0.9778,0.9556
Claude Sonnet 5,2,Todos,45,Item esperado recuperado,1,0.7674,0.907,0.9767
Claude Sonnet 5,2,Todos,45,Citou o item esperado,1,0.7674,0.907,0.9767
Claude Sonnet 5,2,Todos,45,Tokens de entrada por pergunta,25647.4889,7737.4444,16080.2667,24297.6667
Claude Sonnet 5,2,Todos,45,Tokens totais por pergunta,26359.9111,8361.5556,17317.3778,25998.7333
Claude Sonnet 5,2,Todos,45,Latência média (s),7.0938,6.2649,10.1172,16.1182
Claude Sonnet 5,2,Subvenção Regional,15,Acurácia sem referência,1,0.8667,0.9333,1
Claude Sonnet 5,2,Subvenção Regional,15,Acurácia com referência,0.6,0.3333,0.9333,1
Claude Sonnet 5,2,Subvenção Regional,15,Valores esperados (automático),1,0.8667,1,1
Claude Sonnet 5,2,Subvenção Regional,15,Respostas totalmente referenciadas,0.6,0.4667,1,1
Claude Sonnet 5,2,Subvenção Regional,15,Item esperado recuperado,1,0.7857,1,1
Claude Sonnet 5,2,Subvenção Regional,15,Citou o item esperado,1,0.7857,1,1
Claude Sonnet 5,2,Subvenção Regional,15,Tokens de entrada por pergunta,22105.4667,9164.2667,15945.2,25903.4
Claude Sonnet 5,2,Subvenção Regional,15,Tokens totais por pergunta,22829.2667,9871.0667,17116.2,27712.4
Claude Sonnet 5,2,Subvenção Regional,15,Latência média (s),7.0995,7.5043,9.2583,16.7805
Claude Sonnet 5,2,MIB R2 — Tecnologias Digitais,15,Acurácia sem referência,0.9333,0.8,0.8667,1
Claude Sonnet 5,2,MIB R2 — Tecnologias Digitais,15,Acurácia com referência,0.8667,0.4667,0.8667,1
Claude Sonnet 5,2,MIB R2 — Tecnologias Digitais,15,Valores esperados (automático),1,0.8,0.8667,1
Claude Sonnet 5,2,MIB R2 — Tecnologias Digitais,15,Respostas totalmente referenciadas,0.9333,0.5333,0.9333,1
Claude Sonnet 5,2,MIB R2 — Tecnologias Digitais,15,Item esperado recuperado,1,0.7333,0.8,0.9333
Claude Sonnet 5,2,MIB R2 — Tecnologias Digitais,15,Citou o item esperado,1,0.7333,0.8,0.9333
Claude Sonnet 5,2,MIB R2 — Tecnologias Digitais,15,Tokens de entrada por pergunta,25810.0667,8796.4667,17844.6667,26378.7333
Claude Sonnet 5,2,MIB R2 — Tecnologias Digitais,15,Tokens totais por pergunta,26536.2,9522.2667,19196.4,28169.4667
Claude Sonnet 5,2,MIB R2 — Tecnologias Digitais,15,Latência média (s),6.9533,6.6955,11.3173,17.1689
Claude Sonnet 5,2,Agricultura Familiar para ICTs 2026,15,Acurácia sem referência,1,0.6667,0.8,0.9333
Claude Sonnet 5,2,Agricultura Familiar para ICTs 2026,15,Acurácia com referência,0.6,0.4,0.8,0.8667
Claude Sonnet 5,2,Agricultura Familiar para ICTs 2026,15,Valores esperados (automático),1,0.6667,0.8,0.9333
Claude Sonnet 5,2,Agricultura Familiar para ICTs 2026,15,Respostas totalmente referenciadas,0.6,0.5333,1,0.8667
Claude Sonnet 5,2,Agricultura Familiar para ICTs 2026,15,Item esperado recuperado,1,0.7857,0.9286,1
